ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
GAR000003087,INTERSTATE PAINT & BODY,GA,------,Other,615 SMITH DR,PERRY,GA,31069,32.465809,-83.745614,N  ,N  ,-----,------         
GAD981234164,ELLIOTT BILL FORD,GA,------,Other,HWY 400 @ BURNT STAND RD,DAHLONEGA,GA,30533,,,N  ,N  ,-----,------         
GAD981233166,MARBLE MASTERS OF MID GA INC,GA,------,Other,1105 N DAVIS DR,WARNER ROBINS,GA,31093,32.637196,-83.612917,N  ,N  ,-----,------         
GAD984311985,DUNLOP RUBBER,GA,------,Other,HWY 29 SOUTH,HARTWELL,GA,30643,,,N  ,N  ,-----,------         
GAD984299032,SOMMERS 31 TIME SAVER,GA,------,Other,5799 OGEECHEE RD,SAVANNAH,GA,31405,32.014108,-81.232974,N  ,N  ,-----,------         
GAD984307512,BLOODWORTH MACHINERY ERECTORS,GA,------,Other,2220 TRADE DR,MACON,GA,31201,32.84688,-83.586186,N  ,N  ,-----,------         
GAD082831736,GEORGIA PACIFIC PEARSON,GA,------,Other,HIGHWAY 82 EAST,PEARSON,GA,31642,31.298333,-82.855,N  ,N  ,-----,------         
GAD984321919,HARRIS HUB SOUTHERN,GA,------,Other,OLD HWY 23,TIGER,GA,30576,,,N  ,N  ,-----,------         
GAD981243405,AUTO COLLISION,GA,------,Other,1115 EAST 2ND AVE,ROME,GA,30161,34.23913,-85.16047,N  ,N  ,-----,------         
GAD981268816,B & R SANDBLASTING & PAINTING,GA,------,Other,4237 WEEMS RD,COLUMBUS,GA,31909,32.539457,-84.920825,N  ,N  ,-----,------         
GAD981275910,KENWORTH OF SAVANNAH INC,GA,------,Other,HWY 21 N,PORT WENTWORTH,GA,31407,,,N  ,N  ,-----,------         
GAD981218944,HUTSON MOTOR CO INC,GA,------,Other,FIRST AVE SE,MOULTRIE,GA,31768,,,N  ,N  ,-----,------         
GAR000036954,WASHINGTON MANUFACTURING,GA,------,Other,1664 SHARON RD,WASHINGTON,GA,30673,,,N  ,N  ,-----,------         
GAR000025379,MECHANICAL MAINTENANCE INC,GA,------,Other,4008 MIKE PADGETT HWY (HWY 565),AUGUSTA,GA,30916,,,N  ,N  ,-----,------         
GAD981264161,WILDFIRE INC,GA,------,Other,RT 1 BOX 349A,WINDER,GA,30680,,,N  ,N  ,-----,------         
GAD981223324,DIXIE MOTORS INC,GA,------,Other,2013 E VICTORY DR,SAVANNAH,GA,31404,32.04208,-81.066362,N  ,N  ,-----,------         
GAD981273881,FEDERAL EXPRESS CORP,GA,------,Other,1104 S HAMILTON AVE,DALTON,GA,30720,34.758987,-84.967311,N  ,N  ,-----,------         
GAD000610121,VALDOSTA STATE UNIVERSITY,GA,------,SQG,1500 NORTH PATTERSON ST,VALDOSTA,GA,31698-0242,30.846855,-83.287388,2  ,N  ,H----,------         
GAD981224355,RAGAN BRAD TIRE & APPLIANCES,GA,------,Other,225 N LEE ST,AMERICUS,GA,31709,32.074082,-84.232653,N  ,N  ,-----,------         
GAD984316711,ROY RAY CARB SHOP,GA,------,Other,3216 VICTORY DR,COLUMBUS,GA,31903,32.432386,-84.954777,N  ,N  ,-----,------         
GAR000014118,STATHAM CASKET CO LLC,GA,------,Other,1946 RAILROAD ST,STATHAM,GA,30666,33.96033,-83.589289,N  ,N  ,-----,------         
GAD981237886,SWISHER INTERNATIONAL INC,GA,------,Other,600 HAINES ST,WAYCROSS,GA,31501,31.206038,-82.359559,N  ,N  ,-----,------         
GAD984315390,COLONIAL BAKING CO,GA,------,Other,2743 MONTPELIER AVE,MACON,GA,31204,32.831106,-83.666096,N  ,N  ,-----,------         
GAD981216617,DEMPSTER-TOCCOA,GA,------,Other,HWY 123,TOCCOA,GA,30577,,,N  ,N  ,-----,------         
GAR000022160,BARNARD STREET CLEANERS,GA,------,Other,308-B W BARNARD ST,GLENNVILLE,GA,30427,,,N  ,N  ,-----,------         
GAD984304782,COLONIAL PRINTING,GA,------,Other,ROUTE 2 BOX 299,CHATSWORTH,GA,30705,,,N  ,N  ,-----,------         
GAD981274665,ZIPPY MART GA541,GA,------,Other,514 N IRWIN AVE,OCILLA,GA,31774,31.599638,-83.250501,N  ,N  ,-----,------         
GAD981274681,ZIPPY MART GA553,GA,------,Other,JEFFERSON & WASHINGTON STS,FT GAINES,GA,31751,,,N  ,N  ,-----,------         
GAD981267974,CHIQUITA BRANDS,GA,------,Other,GATE 5 TRIPPE BLVD & BOWDEN RD,GARDEN CITY,GA,31408,,,N  ,N  ,-----,------         
GAD981222409,LEND LEASE FACILITY,GA,------,Other,WHITFIELD INDUSTRIAL PK,DALTON,GA,30720,,,N  ,N  ,-----,------         
GAD981262579,GEORGIA SAMPLEBOOK CO,GA,------,Other,I-75 & 150 CONNECTOR 3,DALTON,GA,30720,,,N  ,N  ,-----,------         
GAD981269889,AUTOVALET,GA,------,Other,7701 WATERS AVE,SAVANNAH,GA,31406,31.999273,-81.103479,N  ,N  ,-----,------         
GAR000000935,AMERICAN TRANSM,GA,------,Other,1102 E VICTORY DR,SAVANNAH,GA,31404,32.048025,-81.085164,N  ,N  ,-----,------         
GAD981217326,AMOENA CORP,GA,------,Other,2150 NEWMARKET PKWY STE 116,MARIETTA,GA,30067,33.919775,-84.493932,N  ,N  ,-----,------         
GAR000014258,HEIDELBERG USA,GA,------,Other,3240 TOWN POINT PKWY,KENNESAW,GA,30144,34.027708,-84.581018,N  ,N  ,-----,------         
GAD981238298,MORRISON-COOK MOTOR SPORTS,GA,------,Other,907 ROOSEVELT AVE,ALBANY,GA,31701,31.580679,-84.171475,N  ,N  ,-----,------         
GA0000146274,TRUCK AND TRAILER OF MACON INC,GA,------,Other,2451 ALLEN RD,MACON,GA,31206,32.740908,-83.654069,N  ,N  ,-----,------         
GAD981238330,MCKELLER MOTORS INC,GA,------,Other,QUITMAN HWY,MOULTRIE,GA,31768,,,N  ,N  ,-----,------         
GA0000101741,MITCHELL TRANSMISSION CENTER,GA,------,Other,4013 AUGUSTA RD,GARDEN CITY,GA,31408,32.101392,-81.146268,N  ,N  ,-----,------         
GAD981227622,MITCHELLS SHELL 46,GA,------,Other,12306 LARGO DR,SAVANNAH,GA,31419,31.981091,-81.148188,N  ,N  ,-----,------         
GAD981226004,BICKEL TRUCK SVC,GA,------,Other,1031 W JACKSON ST,THOMASVILLE,GA,31792,30.824594,-83.991827,N  ,N  ,-----,------         
GAD984298042,BRYAN & JORDAN BODY SHOP,GA,------,Other,610 S MAIN ST,SYLVESTER,GA,31791,31.51628,-83.83608,N  ,N  ,-----,------         
GAD981262249,DRYCLEAN USA #328,GA,------,Other,201 JOHNNY MERCER BLVD,SAVANNAH,GA,31410,32.016598,-80.978507,N  ,N  ,-----,------         
GAR000037218,GOLD KIST INC TALMO RESEARCH FACILITY,GA,------,Other,3881 ATHENS HWY,TALMO,GA,30575,,,N  ,N  ,-----,------         
GAD981218639,PONTIAC MASTER INC,GA,------,Other,11TH AT TELFAIR,AUGUSTA,GA,30903,,,N  ,N  ,-----,------         
GAD981244882,PENN TRUCKING CO,GA,------,Other,136 SEEDLING DR,CORDELE,GA,31015,31.989559,-83.794923,N  ,N  ,-----,------         
GAD093707677,MANCRO AIRCRAFT COMPANY,GA,------,Other,88 GREEN ST,WARNER ROBINS,GA,31093,,,N  ,N  ,-----,------         
GAD981278328,GASTON CO CARPET MACHINERY CORP,GA,------,Other,BATTLEFIELD PKWY & OLD MILL RD,RINGGOLD,GA,30736,34.93162,-85.182481,N  ,N  ,-----,------         
GAD981252760,GERSTNER MFG INC,GA,------,Other,390 DAIRY-PAK RD,ATHENS,GA,30607,33.978279,-83.390265,N  ,N  ,-----,------         
GAR000021188,ICON ENVIRONMENTAL SERVICE,GA,------,Other,1218 EAST HENRY ST,SAVANNAH,GA,31404,,,N  ,N  ,-----,------         
GAR000001362,GREGG ISAACS POG NISSAN INC,GA,------,Other,203 S DAVID ST,NASHVILLE,GA,31639,31.206393,-83.250321,N  ,N  ,-----,------         
GAD981219801,HEADRICK KEN CHEVROLET,GA,------,Other,822 N 3RD AVE,CHATSWORTH,GA,30705,34.775242,-84.769671,N  ,N  ,-----,------         
GAD981236417,HISAW MOTOR LINES,GA,------,Other,1716 1ST AVE,COLUMBUS,GA,31902,,,N  ,N  ,-----,------         
GAD984318246,MOHAWK HORIZON,GA,------,Other,RIDGE AVE CORNER 3RD ST,TIFTON,GA,31794,,,N  ,N  ,-----,------         
GAR000015750,PATAULA SHORES STORE,GA,------,Other,HIGHWAY 39 SOUTH,FORT GAINES,GA,31751,,,N  ,N  ,-----,------         
GAD981270523,RED LAMB PAINT & BODY SHOP,GA,------,Other,600 PINE AVE,ALBANY,GA,31701,31.57832,-84.160209,N  ,N  ,-----,------         
GAR000034421,ACCESSORY OVERHAUL GROUP,GA,------,Other,1454 WILLIAMSON RD,GRIFFIN,GA,30224,,,N  ,N  ,-----,------         
GAR000000034,AD LITE SIGNS,GA,------,Other,130 HUGH ROAD,LEESBURG,GA,31763,31.62856,-84.228689,N  ,N  ,-----,------         
GAD984300699,LUBRICATION ANALYSTS INC,GA,------,Other,1604 W OAKRIDGE DR,ALBANY,GA,31707,31.54865,-84.19264,N  ,N  ,-----,------         
GAR000027425,TRANE COMPANY THE,GA,------,Other,7590 NE INDUSTRIAL BLVD,MACON,GA,31206,,,N  ,N  ,-----,------         
GAD981224769,MAGNUM BOATS INC,GA,------,Other,BAYTREE RD & GORDON ST EXT,VALDOSTA,GA,31603,30.84696,-83.311783,N  ,N  ,-----,------         
GAD981237696,YARBROUGH PAINT & BODY,GA,------,Other,7404 WATERS AVE,SAVANNAH,GA,31406,32.002108,-81.102501,N  ,N  ,-----,------         
GAD984321190,ALL ABOUT AUTO BODY INC,GA,------,Other,1058B U S HWY 19 SOUTH,LEESBURG,GA,31763,31.67096,-84.172724,N  ,N  ,-----,------         
GAD981267701,ASTECHNOLOGIES,GA,------,Other,OLD SALEM RD,JASPER,GA,30143,,,N  ,N  ,-----,------         
GAR000017384,B&H BODY SHOP & SALES INC,GA,------,SQG,6320 HAWKINSVILLE RD,MACON,GA,31216,32.724728,-83.65417,2  ,N  ,H----,------         
GAD984299040,SOMMERS 30 TIME SAVER,GA,------,Other,I-16 & HWY 280 EXIT 29,ELLABELL,GA,31308,,,N  ,N  ,-----,------         
GAD984299008,SOMMERS 36,GA,------,Other,8408 WHITE BLUFF RD,SAVANNAH,GA,31406,31.998239,-81.122016,N  ,N  ,-----,------         
GAD981269707,TRIWOOD CORP,GA,------,Other,333 SWEAT AVE,AMERICUS,GA,31709,,,N  ,N  ,-----,------         
GAD981267743,STAR PAPER TUBE INC,GA,------,Other,121 WEST CALLAHAN RD,DALTON,GA,30722,,,N  ,N  ,-----,------         
GA0000080291,IN MOTION AUTOMOTIVE TEAM,GA,------,Other,3418 N EXPRESSWAY,GRIFFIN,GA,30223,33.322386,-84.28935,N  ,N  ,-----,------         
GAD981229347,SIGNS INCORPORATED,GA,------,Other,4306 HAMILTON RD,COLUMBUS,GA,31904,32.504998,-84.97162,N  ,N  ,-----,------         
GAD981239585,SUTTON VANESSA CONSTRUCTION CO,GA,------,Other,333 SIMS ST,BARNESVILLE,GA,30204,33.05537,-84.144306,N  ,N  ,-----,------         
GAD984321968,H H CUTLER,GA,------,Other,515-1/2 DENMARK ST,STATESBORO,GA,30458,32.449667,-81.799194,N  ,N  ,-----,------         
GAD981267214,WILSON JERRY FORD MERCURY,GA,------,Other,HWY 27 NORTH,LAFAYETTE,GA,30728,,,N  ,N  ,-----,------         
GAR000019372,JERRY KELLEY PONTIAC-OLDSMOBILE,GA,------,Other,203 SOUTH DAVIS ST,NASHVILLE,GA,31639,,,N  ,N  ,-----,------         
