2020 Census Tract,T2_est77,T2_est84,T2_est91,Total Rental Units with Severe Housing Problems and Equal to or less than 80% AMI,T7_est109,T7_est130,T7_est151,Total Rental Units Equal to or less than 80% AMI,% of rental units occupied by 80% AMI and below with Severe Housing Problems
13059000600,205,50,0,255,385,105,270,760,0.3355263157894737
13059000900,515,50,20,585,695,290,320,1305,0.4482758620689655
13059001200,230,145,0,375,325,210,205,740,0.5067567567567568
13059001700,35,0,4,39,45,155,55,255,0.15294117647058825
13059001800,45,50,25,120,105,115,115,335,0.3582089552238806
13059001900,125,70,30,225,315,95,145,555,0.40540540540540543
13059002000,120,10,0,130,160,100,95,355,0.36619718309859156
13059002100,310,75,15,400,430,215,110,755,0.5298013245033113
13059002200,160,100,15,275,225,125,75,425,0.6470588235294118
13059030101,520,65,0,585,725,115,75,915,0.639344262295082
13059030102,310,65,0,375,420,100,195,715,0.5244755244755245
13059030200,520,50,0,570,665,465,280,1410,0.40425531914893614
13059130300,205,70,55,330,260,315,130,705,0.46808510638297873
13059130400,135,20,0,155,175,120,250,545,0.28440366972477066
13059130500,80,0,45,125,100,0,115,215,0.5813953488372093
13059130601,15,0,0,15,75,365,320,760,0.019736842105263157
13059130602,55,120,0,175,285,120,125,530,0.330188679245283
13059130701,140,30,0,170,140,70,160,370,0.4594594594594595
13059130702,0,120,0,120,0,120,100,220,0.5454545454545454
13059140300,205,45,40,290,205,305,290,800,0.3625
13059140400,10,60,0,70,55,105,45,205,0.34146341463414637
13059140500,210,180,15,405,275,295,115,685,0.5912408759124088
13059140600,100,15,4,119,150,75,230,455,0.26153846153846155
13059150300,115,80,105,300,115,295,180,590,0.5084745762711864
13059150400,455,95,25,575,555,290,250,1095,0.5251141552511416
13059150500,350,225,0,575,435,525,280,1240,0.4637096774193548
13059150600,295,70,0,365,505,200,365,1070,0.3411214953271028
13059150701,415,35,85,535,430,235,395,1060,0.5047169811320755
13059150702,20,0,0,20,40,45,60,145,0.13793103448275862
13059150800,125,45,30,200,125,125,360,610,0.32786885245901637
13059150900,80,115,0,195,135,150,45,330,0.5909090909090909
13061960300,25,4,4,33,140,60,45,245,0.1346938775510204
13063040202,125,45,4,174,155,210,120,485,0.35876288659793815
13063040203,100,50,0,150,195,325,240,760,0.19736842105263158
13063040204,265,40,10,315,280,390,380,1050,0.3
13063040302,390,15,10,415,430,210,415,1055,0.3933649289099526
13063040306,195,0,45,240,370,510,450,1330,0.18045112781954886
13063040307,40,15,10,65,60,165,160,385,0.16883116883116883
13063040308,270,140,0,410,455,325,160,940,0.43617021276595747
13063040309,220,0,0,220,220,215,140,575,0.3826086956521739
13063040310,210,60,0,270,210,140,100,450,0.6
