County Name,Average: YoY Growth 2018-2021,Is 2021 greater than 2011?
"Appling County, Georgia",0.0009953609332095503,Yes
"Atkinson County, Georgia",0.00017986186897109955,No
"Bacon County, Georgia",-0.0019286709663522547,Yes
"Baker County, Georgia",-0.02790369594211643,No
"Baldwin County, Georgia",-0.010421394781511106,No
"Banks County, Georgia",-0.007810541570830637,No
"Barrow County, Georgia",0.02230070811320831,Yes
"Bartow County, Georgia",0.013483093974935719,Yes
"Ben Hill County, Georgia",0.0016990673385019577,No
"Berrien County, Georgia",-0.014381608040218272,No
"Bibb County, Georgia",0.00701857700327778,Yes
"Bleckley County, Georgia",-0.005502515580972248,No
"Brantley County, Georgia",-0.008519720285160367,Yes
"Brooks County, Georgia",0.01355511385297896,No
"Bryan County, Georgia",0.0653746516581158,Yes
"Bulloch County, Georgia",0.021183742735306318,Yes
"Burke County, Georgia",0.02483088099404977,Yes
"Butts County, Georgia",0.016569002737078998,Yes
"Calhoun County, Georgia",-0.040105367937003554,No
"Camden County, Georgia",0.009662737805186646,Yes
"Candler County, Georgia",0.0017855844901409953,No
"Carroll County, Georgia",0.0068135729097903615,Yes
"Catoosa County, Georgia",0.006394681687072825,Yes
"Charlton County, Georgia",-0.01449713435006523,No
"Chatham County, Georgia",0.008957640155805914,Yes
"Chattahoochee County, Georgia",-0.03908064334559032,No
"Chattooga County, Georgia",0.0010876512007620357,No
"Cherokee County, Georgia",0.027160798556399773,Yes
"Clarke County, Georgia",0.009524487542726917,Yes
"Clay County, Georgia",-0.013271713274255048,No
"Clayton County, Georgia",0.01840954779349224,Yes
"Clinch County, Georgia",-0.0002497478591877561,No
"Cobb County, Georgia",0.007743845163508745,Yes
"Coffee County, Georgia",0.0006749325984567435,Yes
"Colquitt County, Georgia",0.0014228760095170538,Yes
"Columbia County, Georgia",0.015610083374429956,Yes
"Cook County, Georgia",7.898598432764271e-05,Yes
"Coweta County, Georgia",0.010427881520651683,Yes
"Crawford County, Georgia",-0.005016400089805421,No
"Crisp County, Georgia",-0.034330058645874,No
"Dade County, Georgia",0.0017733310039616138,No
"Dawson County, Georgia",0.03169463126346289,Yes
"Decatur County, Georgia",0.027431509624272498,Yes
"DeKalb County, Georgia",0.006882315471306973,Yes
"Dodge County, Georgia",-0.013327640949945619,No
"Dooly County, Georgia",-0.05779379016168892,No
"Dougherty County, Georgia",-0.015701236057530894,No
"Douglas County, Georgia",0.003986393254018596,Yes
"Early County, Georgia",0.01521201562908478,No
